Id,Name,City,Sport,Event,NOC
70,Kjetil Andr Aamodt,Nagano,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NOR
71,Kjetil Andr Aamodt,Nagano,Alpine Skiing,Alpine Skiing Men's Combined,NOR
72,Kjetil Andr Aamodt,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Downhill,NOR
73,Kjetil Andr Aamodt,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,NOR
74,Kjetil Andr Aamodt,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Giant Slalom,NOR
75,Kjetil Andr Aamodt,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Slalom,NOR
76,Kjetil Andr Aamodt,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,NOR
77,Kjetil Andr Aamodt,Torino,Alpine Skiing,Alpine Skiing Men's Downhill,NOR
78,Kjetil Andr Aamodt,Torino,Alpine Skiing,Alpine Skiing Men's Super G,NOR
79,Ragnhild Margrethe Aamodt,Beijing,Handball,Handball Women's Handball,NOR
80,Andreea Aanei,Rio de Janeiro,Weightlifting,Weightlifting Women's Super-Heavyweight,ROU
81,Fritz Aanes,Sydney,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",NOR
82,Fritz Aanes,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",NOR
83,Nils Egil Aaness,Squaw Valley,Speed Skating,Speed Skating Men's 500 metres,NOR
84,Nils Egil Aaness,Squaw Valley,Speed Skating,"Speed Skating Men's 1,500 metres",NOR
85,Nils Egil Aaness,Innsbruck,Speed Skating,"Speed Skating Men's 1,500 metres",NOR
86,Alf Lied Aanning,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",NOR
87,Agnes Erika Aanonsen (-Eyde),Sarajevo,Luge,Luge Women's Singles,NOR
88,Johan Aantjes,Los Angeles,Water Polo,Water Polo Men's Water Polo,NED
89,Jan-Erik Aarberg,Mexico City,Sailing,Sailing Mixed Three Person Keelboat,NOR
90,Jan-Erik Aarberg,Munich,Sailing,Sailing Mixed Three Person Keelboat,NOR
91,Willemien Aardenburg,Seoul,Hockey,Hockey Women's Hockey,NED
92,Pepijn Aardewijn,Atlanta,Rowing,Rowing Men's Lightweight Double Sculls,NED
93,Pepijn Aardewijn,Sydney,Rowing,Rowing Men's Lightweight Double Sculls,NED
94,Evald rma (rman-),Berlin,Athletics,Athletics Men's Pole Vault,EST
95,Olav Augunson Aarnes,Stockholm,Athletics,Athletics Men's High Jump,NOR
96,Mika Lauri Aarnikka,Barcelona,Sailing,Sailing Men's Two Person Dinghy,FIN
97,Mika Lauri Aarnikka,Atlanta,Sailing,Sailing Men's Two Person Dinghy,FIN
98,Jamale (Djamel-) Aarrass (Ahrass-),London,Athletics,"Athletics Men's 1,500 metres",FRA
99,Dagfinn Sverre Aarskog,Nagano,Bobsleigh,Bobsleigh Men's Four,NOR
100,Stefan Remco Aartsen,Atlanta,Swimming,Swimming Men's 100 metres Butterfly,NED
101,Stefan Remco Aartsen,Atlanta,Swimming,Swimming Men's 200 metres Butterfly,NED
102,Stefan Remco Aartsen,Atlanta,Swimming,Swimming Men's 4 x 100 metres Medley Relay,NED
103,Stefan Remco Aartsen,Sydney,Swimming,Swimming Men's 100 metres Butterfly,NED
104,Stefan Remco Aartsen,Sydney,Swimming,Swimming Men's 200 metres Butterfly,NED
105,Ann Kristin Aarnes,Atlanta,Football,Football Women's Football,NOR
106,Karl Jan Aas,Antwerpen,Gymnastics,"Gymnastics Men's Team All-Around, Free System",NOR
